Gene,GO terms (biological process),"Gene products (complexes, polypeptides, and RNAs)",Pathways of gene
cyoA,ATP synthesis coupled electron transport // electron transport chain // aerobic respiration // electron transport coupled proton transport // aerobic electron transport chain,cytochrome <i>bo<sub>3</sub></i> ubiquinol:oxygen oxidoreductase,proline to cytochrome <i>bo</i> oxidase electron transfer // NADH to cytochrome <i>bo</i> oxidase electron transfer II // NADH to cytochrome <i>bo</i> oxidase electron transfer I // glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer // D-lactate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // succinate to cytochrome <i>bo</i> oxidase electron transfer
appC,transmembrane transport // aerobic electron transport chain // oxidative phosphorylation,cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase,
dnaE,lagging strand elongation // leading strand elongation // DNA-templated DNA replication // DNA biosynthetic process // DNA replication,"DNA polymerase III, holoenzyme",
deaD,response to cold // mRNA stabilization // response to radiation // positive regulation of translation // ribosomal large subunit assembly // RNA catabolic process // cellular response to cold,ATP-dependent RNA helicase DeaD,
folX,pteridine-containing compound biosynthetic process // folic acid-containing compound metabolic process,dihydroneopterin triphosphate 2'-epimerase,tetrahydromonapterin biosynthesis
gadX,DNA damage response // regulation of DNA-templated transcription // positive regulation of DNA-templated transcription // DNA-templated transcription,DNA-binding transcriptional dual regulator GadX,
efeU,iron ion transmembrane transport,inactive ferrous iron permease EfeU,
clpS,proteolysis // protein catabolic process // response to heat,specificity factor for ClpA-ClpP chaperone-protease complex,
fliD,cell adhesion // bacterial-type flagellum-dependent cell motility,flagellum,
dicA,cell division // DNA-templated transcription,DNA-binding transcriptional dual regulator DicA,
bcsG,cellulose biosynthetic process,cellulose phosphoethanolamine transferase,
ftnB,intracellular sequestering of iron ion,putative ferritin-like protein,
appY,regulation of DNA-templated transcription // response to X-ray // cellular response to phosphate starvation // positive regulation of DNA-templated transcription,DLP12 prophage; DNA-binding transcriptional activator AppY,
dnaG,"replication fork processing // DNA unwinding involved in DNA replication // DNA replication // DNA replication, synthesis of primer",primosome,
dgcQ,cell adhesion involved in single-species biofilm formation // cellulose biosynthetic process // negative regulation of bacterial-type flagellum-dependent cell motility,diguanylate cyclase DgcQ,
aldA,gamma-aminobutyric acid catabolic process // fucose catabolic process // rhamnose catabolic process // L-fucose catabolic process,"aldehyde dehydrogenase A, NAD-linked",superpathway of fucose and rhamnose degradation // methylglyoxal degradation IV // superpathway of methylglyoxal degradation // L-lactaldehyde degradation (aerobic) // superpathway of glycol metabolism and degradation // ethylene glycol degradation // D-arabinose degradation II
evgS,signal transduction // phosphorelay signal transduction system // peptidyl-histidine phosphorylation // response to acidic pH // response to metal ion // protein autophosphorylation,EvgS-<i>N</i>-phospho-L-histidine-721,EvgSA Two-Component Signal Transduction System
clcB,monoatomic ion transmembrane transport // transmembrane transport // response to acidic pH // chloride transport // cellular response to acidic pH // chloride transmembrane transport,putative chloride:H<sup>+</sup> antiporter ClcB,
curA,,NADPH-dependent curcumin/dihydrocurcumin reductase,curcumin degradation
